,home,away,date,season,venue,type,toss,winner,man_of_match,points
621,Mumbai Indians,Royal Challengers Bangalore,"1st May, 2017",2017 - 38th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Mumbai Indians won by 5 wickets,Rohit Sharma,
622,Rising Pune Supergiant,Gujarat Lions,"1st May, 2017",2017 - 39th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 5 wickets,Ben Stokes,
623,Delhi Daredevils,Sunrisers Hyderabad,"2nd May, 2017",2017 - 40th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Mohammed Shami,
624,Kolkata Knight Riders,Rising Pune Supergiant,"3rd May, 2017",2017 - 41st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 4 wickets,Rahul Tripathi,
625,Delhi Daredevils,Gujarat Lions,"4th May, 2017",2017 - 42nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Rishabh Pant,
626,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2017",2017 - 43rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kings XI Punjab won by 19 runs,Sandeep Sharma,
627,Sunrisers Hyderabad,Rising Pune Supergiant,"6th May, 2017",2017 - 44th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rising Pune Supergiant won by 12 runs,Jaydev Unadkat,
628,Delhi Daredevils,Mumbai Indians,"6th May, 2017",2017 - 45th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 146 runs,Lendl Simmons,
629,Royal Challengers Bangalore,Kolkata Knight Riders,"7th May, 2017",2017 - 46th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Sunil Narine,
630,Kings XI Punjab,Gujarat Lions,"7th May, 2017",2017 - 47th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Dwayne Smith,
631,Sunrisers Hyderabad,Mumbai Indians,"8th May, 2017",2017 - 48th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Shikhar Dhawan,
632,Kings XI Punjab,Kolkata Knight Riders,"9th May, 2017",2017 - 49th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 14 runs,Mohit Sharma,
633,Gujarat Lions,Delhi Daredevils,"10th May, 2017",2017 - 50th Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 2 wickets,Shreyas Iyer,
634,Mumbai Indians,Kings XI Punjab,"11th May, 2017",2017 - 51st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,
635,Delhi Daredevils,Rising Pune Supergiant,"12th May, 2017",2017 - 52nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 7 runs,Karun Nair,
636,Gujarat Lions,Sunrisers Hyderabad,"13th May, 2017",2017 - 53rd Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Mohammed Siraj,
637,Kolkata Knight Riders,Mumbai Indians,"13th May, 2017",2017 - 54th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 9 runs,Ambati Rayudu,
638,Rising Pune Supergiant,Kings XI Punjab,"14th May, 2017",2017 - 55th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 9 wickets,Jaydev Unadkat,
639,Delhi Daredevils,Royal Challengers Bangalore,"14th May, 2017",2017 - 56th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 10 runs,Harshal Patel,
640,Mumbai Indians,Rising Pune Supergiant,"16th May, 2017",2017 - 1st Qualifying Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,
641,Sunrisers Hyderabad,Kolkata Knight Riders,"17th May, 2017",2017 - Elimination Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets [D/L Method],Nathan Coulter-Nile,
642,Mumbai Indians,Kolkata Knight Riders,"19th May, 2017",2017 - 2nd Qualifying Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Karn Sharma,
643,Mumbai Indians,Rising Pune Supergiant,"21st May, 2017",2017 - Final,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 1 run,Krunal Pandya,
644,Mumbai Indians,Chennai Super Kings,"7th April, 2018",2018 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 1 wicket,Dwayne Bravo,
645,Kings XI Punjab,Delhi Daredevils,"8th April, 2018",2018 - 2nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,KL Rahul,
646,Kolkata Knight Riders,Royal Challengers Bangalore,"8th April, 2018",2018 - 3rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 4 wickets,Sunil Narine,
647,Sunrisers Hyderabad,Rajasthan Royals,"9th April, 2018",2018 - 4th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 9 wickets,Shikhar Dhawan,
648,Chennai Super Kings,Kolkata Knight Riders,"10th April, 2018",2018 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,Sam Billings,
649,Rajasthan Royals,Delhi Daredevils,"11th April, 2018",2018 - 6th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Rajasthan Royals won by 10 runs [D/L Method],Sanju Samson,"Rajasthan Royals 2, Delhi Daredevils 0"
650,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2018",2018 - 7th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 1 wicket,Rashid Khan,
651,Kings XI Punjab,Royal Challengers Bangalore,"13th April, 2018",2018 - 8th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,Umesh Yadav,
652,Mumbai Indians,Delhi Daredevils,"14th April, 2018",2018 - 9th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Jason Roy,
653,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2018",2018 - 10th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Billy Stanlake,
654,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2018",2018 - 11th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 19 runs,Sanju Samson,
655,Kings XI Punjab,Chennai Super Kings,"15th April, 2018",2018 - 12th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Kings XI Punjab won by 4 runs,Chris Gayle,
656,Kolkata Knight Riders,Delhi Daredevils,"16th April, 2018",2018 - 13th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kolkata Knight Riders won by 71 runs,Nitish Rana,
657,Mumbai Indians,Royal Challengers Bangalore,"17th April, 2018",2018 - 14th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Mumbai Indians won by 46 runs,Rohit Sharma,
658,Rajasthan Royals,Kolkata Knight Riders,"18th April, 2018",2018 - 15th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Nitish Rana,
659,Kings XI Punjab,Sunrisers Hyderabad,"19th April, 2018",2018 - 16th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 15 runs,Chris Gayle,
660,Rajasthan Royals,Chennai Super Kings,"20th April, 2018",2018 - 17th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 64 runs,Shane Watson,
661,Kolkata Knight Riders,Kings XI Punjab,"21st April, 2018",2018 - 18th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 9 wickets [D/L Method],KL Rahul,"Kings XI Punjab 2, Kolkata Knight Riders 0"
662,Royal Challengers Bangalore,Delhi Daredevils,"21st April, 2018",2018 - 19th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,AB de Villiers,
663,Sunrisers Hyderabad,Chennai Super Kings,"22nd April, 2018",2018 - 20th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Chennai Super Kings won by 4 runs,Ambati Rayudu,
664,Rajasthan Royals,Mumbai Indians,"22nd April, 2018",2018 - 21st Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Rajasthan Royals won by 3 wickets,Jofra Archer,
665,Delhi Daredevils,Kings XI Punjab,"23rd April, 2018",2018 - 22nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kings XI Punjab won by 4 runs,Ankit Rajpoot,
666,Mumbai Indians,Sunrisers Hyderabad,"24th April, 2018",2018 - 23rd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Sunrisers Hyderabad won by 31 runs,Rashid Khan,
667,Royal Challengers Bangalore,Chennai Super Kings,"25th April, 2018",2018 - 24th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,M S Dhoni,
668,Sunrisers Hyderabad,Kings XI Punjab,"26th April, 2018",2018 - 25th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 13 runs,Ankit Rajpoot,
669,Delhi Daredevils,Kolkata Knight Riders,"27th April, 2018",2018 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Daredevils won by 55 runs,Shreyas Iyer,
670,Chennai Super Kings,Mumbai Indians,"28th April, 2018",2018 - 27th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Rohit Sharma,
671,Rajasthan Royals,Sunrisers Hyderabad,"29th April, 2018",2018 - 28th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,
672,Royal Challengers Bangalore,Kolkata Knight Riders,"29th April, 2018",2018 - 29th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Chris Lynn,
673,Chennai Super Kings,Delhi Daredevils,"30th April, 2018",2018 - 30th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Chennai Super Kings won by 13 runs,Shane Watson,
674,Royal Challengers Bangalore,Mumbai Indians,"1st May, 2018",2018 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,
675,Delhi Daredevils,Rajasthan Royals,"2nd May, 2018",2018 - 32nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Delhi Daredevils won by 4 runs [D/L Method],Rishabh Pant,"Delhi Daredevils 2, Rajasthan Royals 0"
676,Kolkata Knight Riders,Chennai Super Kings,"3rd May, 2018",2018 - 33rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Sunil Narine,
677,Kings XI Punjab,Mumbai Indians,"4th May, 2018",2018 - 34th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Suryakumar Yadav,
678,Chennai Super Kings,Royal Challengers Bangalore,"5th May, 2018",2018 - 35th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Ravindra Jadeja,
679,Sunrisers Hyderabad,Delhi Daredevils,"5th May, 2018",2018 - 36th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Rashid Khan,
680,Mumbai Indians,Kolkata Knight Riders,"6th May, 2018",2018 - 37th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 13 runs,Hardik Pandya,
681,Kings XI Punjab,Rajasthan Royals,"6th May, 2018",2018 - 38th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Mujeeb Ur Rahman,
682,Sunrisers Hyderabad,Royal Challengers Bangalore,"7th May, 2018",2018 - 39th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 5 runs,Kane Williamson,
683,Rajasthan Royals,Kings XI Punjab,"8th May, 2018",2018 - 40th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 15 runs,Jos Buttler,
684,Kolkata Knight Riders,Mumbai Indians,"9th May, 2018",2018 - 41st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 102 runs,Ishan Kishan,
685,Delhi Daredevils,Sunrisers Hyderabad,"10th May, 2018",2018 - 42nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Sunrisers Hyderabad won by 9 wickets,Shikhar Dhawan,
686,Rajasthan Royals,Chennai Super Kings,"11th May, 2018",2018 - 43rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Rajasthan Royals won by 4 wickets,Jos Buttler,
687,Kings XI Punjab,Kolkata Knight Riders,"12th May, 2018",2018 - 44th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kolkata Knight Riders won by 31 runs,Sunil Narine,
688,Delhi Daredevils,Royal Challengers Bangalore,"12th May, 2018",2018 - 45th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 5 wickets,AB de Villiers,
689,Chennai Super Kings,Sunrisers Hyderabad,"13th May, 2018",2018 - 46th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 8 wickets,Ambati Rayudu,
690,Mumbai Indians,Rajasthan Royals,"13th May, 2018",2018 - 47th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Jos Buttler,
691,Kings XI Punjab,Royal Challengers Bangalore,"14th May, 2018",2018 - 48th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Umesh Yadav,
692,Kolkata Knight Riders,Rajasthan Royals,"15th May, 2018",2018 - 49th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Kuldeep Yadav,
