,home,away,date,season,venue,type,toss,winner,man_of_match,points
605,Kolkata Knight Riders,Mumbai Indians,"23rd September, 2021",2021 - 34th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Sunil Narine,
606,Chennai Super Kings,Royal Challengers Bangalore,"24th September, 2021",2021 - 35th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Dwayne Bravo,
607,Delhi Capitals,Rajasthan Royals,"25th September, 2021",2021 - 36th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Delhi Capitals won by 33 runs,Shreyas Iyer,
608,Punjab Kings,Sunrisers Hyderabad,"25th September, 2021",2021 - 37th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Punjab Kings won by 5 runs,Jason Holder,
609,Chennai Super Kings,Kolkata Knight Riders,"26th September, 2021",2021 - 38th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 2 wickets,Ravindra Jadeja,
610,Mumbai Indians,Royal Challengers Bangalore,"26th September, 2021",2021 - 39th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won by 54 runs,Glenn Maxwell,"Royal Challengers Bangalore 2, Mumbai Indians 0"
611,Rajasthan Royals,Sunrisers Hyderabad,"27th September, 2021",2021 - 40th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Jason Roy,
612,Delhi Capitals,Kolkata Knight Riders,"28th September, 2021",2021 - 41st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 3 wickets,Sunil Narine,
613,Mumbai Indians,Punjab Kings,"28th September, 2021",2021 - 42nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Kieron Pollard,
614,Rajasthan Royals,Royal Challengers Bangalore,"29th September, 2021",2021 - 43rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Yuzvendra Chahal,
615,Chennai Super Kings,Sunrisers Hyderabad,"30th September, 2021",2021 - 44th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Josh Hazlewood,
616,Kolkata Knight Riders,Punjab Kings,"1st October, 2021",2021 - 45th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 5 wickets,KL Rahul,
617,Delhi Capitals,Mumbai Indians,"2nd October, 2021",2021 - 46th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 4 wickets,Axar Patel,
618,Chennai Super Kings,Rajasthan Royals,"2nd October, 2021",2021 - 47th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Ruturaj Gaikwad,
619,Punjab Kings,Royal Challengers Bangalore,"3rd October, 2021",2021 - 48th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,
620,Kolkata Knight Riders,Sunrisers Hyderabad,"3rd October, 2021",2021 - 49th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Shubman Gill,
621,Chennai Super Kings,Delhi Capitals,"4th October, 2021",2021 - 50th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 3 wickets,Axar Patel,
622,Mumbai Indians,Rajasthan Royals,"5th October, 2021",2021 - 51st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Nathan Coulter-Nile,
623,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th October, 2021",2021 - 52nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 4 runs,Kane Williamson,
624,Chennai Super Kings,Punjab Kings,"7th October, 2021",2021 - 53rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 6 wickets,KL Rahul,
625,Kolkata Knight Riders,Rajasthan Royals,"7th October, 2021",2021 - 54th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kolkata Knight Riders won by 86 runs,Shivam Mavi,
626,Mumbai Indians,Sunrisers Hyderabad,"8th October, 2021",2021 - 55th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 42 runs,Ishan Kishan,
627,Delhi Capitals,Royal Challengers Bangalore,"8th October, 2021",2021 - 56th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Srikar Bharat,
628,Chennai Super Kings,Delhi Capitals,"10th October, 2021",2021 - 1st Qualifying Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ruturaj Gaikwad,
629,Kolkata Knight Riders,Royal Challengers Bangalore,"11th October, 2021",2021 - 1st Elimination Final,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kolkata Knight Riders won by 4 wickets,Sunil Narine,
630,Delhi Capitals,Kolkata Knight Riders,"13th October, 2021",2021 - 2nd Qualifying Final,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 3 wickets,Venkatesh Iyer,
631,Chennai Super Kings,Kolkata Knight Riders,"15th October, 2021",2021 - Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 27 runs,Faf du Plessis,
632,Chennai Super Kings,Kolkata Knight Riders,"26th March, 2022",2022 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Umesh Yadav,
633,Mumbai Indians,Delhi Capitals,"27th March, 2022",2022 - 2nd Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 4 wickets,Kuldeep Yadav,
634,Punjab Kings,Royal Challengers Bangalore,"27th March, 2022",2022 - 3rd Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 5 wickets,Faf du Plessis,
635,Gujarat Titans,Lucknow Super Giants,"28th March, 2022",2022 - 4th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 5 wickets,Mohammed Shami,
636,Rajasthan Royals,Sunrisers Hyderabad,"29th March, 2022",2022 - 5th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Rajasthan Royals won by 61 runs,Sanju Samson,
637,Kolkata Knight Riders,Royal Challengers Bangalore,"30th March, 2022",2022 - 6th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 3 wickets,Wanindu Hasaranga,
638,Chennai Super Kings,Lucknow Super Giants,"31st March, 2022",2022 - 7th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Lucknow Super Giants won by 6 wickets,Evin Lewis,
639,Kolkata Knight Riders,Punjab Kings,"1st April, 2022",2022 - 8th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Umesh Yadav,
640,Mumbai Indians,Rajasthan Royals,"2nd April, 2022",2022 - 9th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rajasthan Royals won by 23 runs,Jos Buttler,
641,Delhi Capitals,Gujarat Titans,"2nd April, 2022",2022 - 10th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Gujarat Titans won by 14 runs,Lockie Ferguson,
642,Chennai Super Kings,Punjab Kings,"3rd April, 2022",2022 - 11th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Punjab Kings won by 54 runs,Liam Livingstone,
643,Lucknow Super Giants,Sunrisers Hyderabad,"4th April, 2022",2022 - 12th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Lucknow Super Giants won by 12 runs,Avesh Khan,
644,Rajasthan Royals,Royal Challengers Bangalore,"5th April, 2022",2022 - 13th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,Dinesh Karthik,
645,Kolkata Knight Riders,Mumbai Indians,"6th April, 2022",2022 - 14th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Pat Cummins,
646,Delhi Capitals,Lucknow Super Giants,"7th April, 2022",2022 - 15th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Lucknow Super Giants won by 6 wickets,Quinton de Kock,
647,Gujarat Titans,Punjab Kings,"8th April, 2022",2022 - 16th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Titans won the toss and elected to field,Gujarat Titans won by 6 wickets,Shubman Gill,
648,Chennai Super Kings,Sunrisers Hyderabad,"9th April, 2022",2022 - 17th Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Abhishek Sharma,
649,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2022",2022 - 18th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Anuj Rawat,
650,Delhi Capitals,Kolkata Knight Riders,"10th April, 2022",2022 - 19th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Capitals won by 44 runs,Kuldeep Yadav,
651,Lucknow Super Giants,Rajasthan Royals,"10th April, 2022",2022 - 20th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Lucknow Super Giants won the toss and elected to field,Rajasthan Royals won by 3 runs,Yuzvendra Chahal,
652,Gujarat Titans,Sunrisers Hyderabad,"11th April, 2022",2022 - 21st Match,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Kane Williamson,
